Incident Date,Incident Time,Incident Year,Incident Day of Week,Incident ID,Incident Number,Incident Category,Incident Subcategory,Incident Description,Intersection,Police District,Analysis Neighborhood,Latitude,Longitude
12/12/24,3:12,2024,Thursday,1446930,240766723,Burglary,Burglary - Residential,"Burglary, Apartment House, Forcible Entry",23RD AVE \ ANZA ST,Richmond,Outer Richmond,37.77826309,-122.4824524
12/12/24,10:13,2024,Thursday,1446931,240766648,Larceny Theft,Larceny Theft - Shoplifting,"Theft, Shoplifting, $200-$950",UNION ST \ WEBSTER ST,Northern,Marina,37.79729843,-122.4338455
12/12/24,11:01,2024,Thursday,1446939,240766698,Assault,Simple Assault,"Assault, Non-Aggravated",CAMBON DR \ CASTELO AVE \ UNNAMED 088,Taraval,Lakeshore,37.71750641,-122.4743805
12/12/24,2:35,2024,Thursday,1446940,240766870,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Vehicle",AMHERST ST \ WAYLAND ST,Bayview,Portola,37.7233429,-122.4149323
12/12/24,11:08,2024,Thursday,1446949,240766842,Assault,Simple Assault,Battery,15TH ST \ SHARON ST,Mission,Castro/Upper Market,37.76606369,-122.429924
12/12/24,10:40,2024,Thursday,1446952,240766999,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $200-$950",COMMER CT \ GARLINGTON CT,Bayview,Bayview Hunters Point,37.73235321,-122.3844986
12/12/24,13:07,2024,Thursday,1446953,240767000,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",04TH ST \ STILLMAN ST,Southern,South of Market,37.77997971,-122.3985977
12/12/24,10:40,2024,Thursday,1446963,240766892,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $50-$200",PAGE ST \ STEINER ST,Northern,Haight Ashbury,37.77283096,-122.4322815
11/28/24,22:00,2024,Thursday,1446979,240766983,Assault,Simple Assault,False Imprisonment,GEARY ST \ POLK ST,Northern,Tenderloin,37.78589249,-122.4197388
12/12/24,12:41,2024,Thursday,1446985,240767022,Larceny Theft,Larceny Theft - Shoplifting,"Theft, Shoplifting, $200-$950",DIVISADERO ST \ LOMBARD ST,Northern,Marina,37.79899979,-122.4426498
